sequence_frame,timestamp,registration_success,weak_flag,weak_multiplier,q_weak,rolling_weak_fraction,rolling_q_median,rolling_successful_frames,rolling_q_frames,gate_candidate,state_before,state_after,selected_estimator,mode_switch
267,1.70554e+09,1,1,1.51505,0.152821,1.0,0.156338,20,20,g0,Loose,Loose,Loose_L1,0
269,1.70554e+09,1,1,2.02123,0.184696,1.0,0.1629945,20,20,g0,Loose,Loose,Loose_L1,0
271,1.70554e+09,1,1,2.35228,0.206258,1.0,0.1695285,20,20,g0,Loose,Loose,Loose_L1,0
273,1.70554e+09,1,1,2.25877,0.199294,1.0,0.17674600000000001,20,20,g0,Loose,Loose,Loose_L1,0
275,1.70554e+09,1,1,1.21265,0.108636,1.0,0.17674600000000001,20,20,g0,Loose,Loose,Loose_L1,0
277,1.70554e+09,1,1,1.03689,0.114218,1.0,0.1695285,20,20,g0,Loose,Loose,Loose_L1,0
279,1.70554e+09,1,0,1.0,0.106753,0.95,0.172401,20,19,g0,Loose,Loose,Loose_L1,0
281,1.70554e+09,1,0,1.0,0.0978743,0.9,0.178196,20,18,g0,Loose,Loose,Loose_L1,0
283,1.70554e+09,1,0,1.0,0.111877,0.85,0.183991,20,17,g0,Loose,Loose,Loose_L1,0
285,1.70554e+09,1,0,1.0,0.129789,0.8,0.1843435,20,16,g0,Loose,Loose,Loose_L1,0
287,1.70554e+09,1,0,1.0,0.110241,0.75,0.183991,20,15,g0,Loose,Loose,Loose_L1,0
289,1.70554e+09,1,0,1.0,0.103353,0.7,0.1843435,20,14,g0,Loose,Loose,Loose_L1,0
291,1.70554e+09,1,0,1.0,0.105594,0.65,0.184696,20,13,g0,Loose,Loose,Loose_L1,0
293,1.70554e+09,1,0,1.0,0.113301,0.6,0.191995,20,12,g0,Loose,Native,Native,1
295,1.70554e+09,1,0,1.0,0.11073,0.55,0.184696,20,11,g0,Native,Native,Native,0
297,1.70554e+09,1,0,1.0,0.10232,0.5,0.1843435,20,10,g0,Native,Native,Native,0
299,1.70554e+09,1,0,1.0,0.109009,0.45,0.183991,20,9,g0,Native,Native,Native,0
301,1.70554e+09,1,0,1.0,0.107134,0.4,0.17166199999999998,20,8,g0,Native,Native,Native,0
303,1.70554e+09,1,0,1.0,0.10129,0.35,0.159333,20,7,g0,Native,Native,Native,0
305,1.70554e+09,1,0,1.0,0.102122,0.3,0.1687585,20,6,g0,Native,Native,Native,0
307,1.70554e+09,1,0,1.0,0.106822,0.25,0.184696,20,5,g0,Native,Native,Native,0
309,1.70554e+09,1,0,1.0,0.106231,0.2,0.156756,20,4,g0,Native,Native,Native,0
311,1.70554e+09,1,0,1.0,0.101919,0.15,0.114218,20,3,g0,Native,Native,Native,0
313,1.70554e+09,1,0,1.0,0.10667,0.1,0.111427,20,2,g0,Native,Native,Native,0
315,1.70554e+09,1,0,1.0,0.104993,0.05,0.114218,20,1,g0,Native,Native,Native,0
317,1.70554e+09,1,0,1.0,0.107492,0.0,nan,20,0,g0,Native,Native,Native,0
319,1.70554e+09,1,0,1.0,0.109553,0.0,nan,20,0,g0,Native,Native,Native,0
